red,green,blue,label
20,139,240,Blue
174,83,72,Brown
144,249,131,Green
168,25,156,Pink
30,182,136,Green
199,150,175,Pink
199,93,154,Pink
231,243,25,Yellow
48,213,76,Green
38,3,64,Blue
82,181,56,Green
249,99,108,Pink
24,161,177,Blue
180,134,41,Brown
125,103,236,Blue
10,155,98,Green
228,85,7,Orange
249,15,198,Pink
172,13,155,Pink
215,195,149,Brown
250,146,229,Pink
159,253,91,Green
58,137,127,Green
201,191,242,Purple
253,208,44,Yellow
95,189,94,Green
119,183,248,Blue
71,45,228,Blue
161,229,147,Green
202,21,34,Red
29,5,190,Blue
1,86,186,Blue
213,160,139,Brown
172,15,121,Pink
127,240,90,Green
7,160,197,Blue
187,191,105,Green
37,233,32,Green
101,40,153,Purple
91,77,165,Purple
216,154,222,Pink
43,223,41,Green
13,23,218,Blue
40,227,174,Green
122,168,93,Green
82,157,53,Green
77,53,19,Brown
45,158,151,Green
154,3,50,Pink
138,214,179,Green
28,154,202,Blue
126,111,138,Purple
199,106,189,Pink
121,110,237,Blue
83,225,69,Green
22,68,79,Green
165,140,146,Grey
205,6,230,Pink
138,40,96,Pink
237,99,167,Pink
96,70,210,Blue
91,179,160,Green
27,65,68,Green
90,74,177,Blue
94,35,55,Brown
68,240,4,Green
108,205,107,Green
135,150,126,Green
45,193,250,Blue
222,208,15,Yellow
114,177,116,Green
150,170,0,Green
93,69,220,Blue
7,25,120,Blue
93,75,199,Blue
125,114,45,Green
48,180,118,Green
90,85,172,Blue
21,156,221,Blue
23,119,227,Blue
183,193,0,Yellow
78,66,228,Blue
221,141,165,Pink
50,131,120,Green
237,227,32,Yellow
25,124,117,Green
184,185,99,Green
60,11,184,Blue
128,203,17,Green
176,34,118,Pink
15,77,233,Blue
73,71,31,Grey
140,178,187,Blue
94,160,239,Blue
153,174,67,Green
44,17,61,Purple
22,73,181,Blue
241,147,43,Orange
231,15,60,Pink
24,63,229,Blue
32,114,134,Blue
73,203,197,Blue
201,64,139,Pink
100,34,146,Purple
104,124,76,Green
237,23,6,Red
84,24,253,Blue
207,221,69,Yellow
226,158,50,Orange
76,21,88,Purple
146,70,179,Purple
18,240,118,Green
146,253,227,Green
120,112,15,Green
40,181,201,Blue
122,234,187,Green
131,111,1,Green
96,123,96,Grey
47,131,241,Blue
153,96,246,Purple
187,109,167,Pink
194,191,49,Yellow
237,168,135,Orange
20,240,35,Green
159,254,27,Green
93,16,175,Purple
26,4,250,Blue
164,229,160,Green
162,24,143,Pink
147,127,137,Grey
213,85,199,Pink
187,52,84,Pink
252,229,113,Yellow
248,89,204,Pink
93,108,230,Blue
215,95,12,Orange
144,205,203,Green
179,19,115,Pink
213,64,139,Pink
214,79,12,Orange
44,183,126,Green
247,183,133,Orange
150,242,18,Green
212,171,201,Pink
110,12,97,Purple
72,198,20,Green
115,101,51,Brown
187,86,150,Pink
249,135,7,Orange
164,105,248,Purple
74,148,136,Green
113,196,74,Green
201,34,192,Pink
79,18,222,Blue
0,157,138,Green
107,128,105,Grey
140,20,70,Pink
132,218,15,Green
167,202,217,Blue
215,142,209,Pink
126,38,126,Pink
199,225,240,Blue
96,78,130,Purple
125,253,242,Blue
164,86,80,Brown
180,249,170,Green
85,233,90,Green
199,233,203,Green
90,154,76,Green
54,187,79,Green
125,43,30,Brown
35,34,66,Blue
243,33,165,Pink
1,119,93,Green
91,206,23,Green
54,240,229,Green
157,168,249,Blue
100,211,172,Green
49,194,108,Green
98,115,97,Grey
42,49,89,Blue
50,157,15,Green
56,132,76,Green
92,203,37,Green
96,153,95,Green
55,25,104,Purple
55,118,237,Blue
139,157,154,Grey
228,91,251,Pink
6,218,230,Blue
222,10,80,Pink
9,132,209,Blue
158,56,220,Purple
99,24,41,Brown
222,101,221,Pink
117,129,227,Blue
37,236,19,Green
228,183,138,Brown
9,228,206,Green
183,16,203,Pink
74,222,101,Green
176,253,108,Green
124,197,25,Green
169,231,234,Blue
195,248,212,Green
159,110,233,Purple
187,90,38,Brown
177,251,233,Green
209,185,127,Brown
148,152,109,Green
13,24,227,Blue
34,251,11,Green
136,128,148,Purple
128,76,189,Purple
250,11,126,Pink
148,175,65,Green
100,70,139,Purple
222,187,175,Brown
6,207,15,Green
32,2,42,Purple
140,133,31,Green
196,138,75,Brown
170,103,140,Pink
129,3,158,Pink
178,135,94,Brown
79,43,164,Blue
234,205,4,Yellow
207,112,105,Pink
67,6,95,Purple
216,187,235,Purple
20,230,66,Green
3,88,41,Green
219,124,89,Orange
110,137,90,Green
